Aceleracion_X0;Aceleracion_Y0;Aceleracion_Z0;Gyro_X0;Gyro_Y0;Gyro_Z0;Temperatura1;Aceleracion_X1;Aceleracion_Y1;Aceleracion_Z1;Gyro_X1;Gyro_Y1;Gyro_Z1;Temperatura1
-8,77;-1,34;-2,92;0,09;0,09;-0,06;23,16;-9,37;0,14;-3,33;0,13;-0,01;0,05;24,13
-8,69;-1,17;-3,44;-0,06;-0,15;0,04;23,18;-9,43;-0,18;-3,58;-0,11;-0,03;-0,11;24,13
-7,52;-3,99;-2,34;0,24;0,26;-0,83;23,19;-7,96;0,14;-1,53;0,72;0,69;-1,58;24,13
-7,75;-0,15;-2,97;-0,51;0,16;0,53;23,18;-8,97;-0,42;-5,41;-0,38;0,51;0,92;24,1
-7,67;-1,94;-4,92;-0,78;-0,14;0,44;23,17;-9,34;-0,61;-5,28;-0,59;-0,17;1,26;24,11
-5,26;0,57;-1,98;0,2;0,5;0,24;23,17;-6,93;4,34;-4,48;-0,1;-0,88;-5,52;24,09
-8,29;-0,28;-4,62;-0,59;0,02;0,89;23,17;-9,37;0,49;-5,22;-0,78;0,28;0,52;24,07
-10,1;-2,05;-3,7;-0,13;0,3;-2,61;23,17;-3,69;7,14;-1,99;0,02;0,24;-1,81;24,06
-7,64;-0,85;-4,87;-0,15;0,3;1,35;23,17;-9,35;2,1;-6,15;-0,11;0,99;0,96;24,05
-14,47;-0,43;-3,68;0,94;-0,38;-2,5;23,17;-13,22;6,96;-5,92;-1,42;0,14;2,32;24,05
-7,39;6,2;-2,26;0,23;0,58;0,83;23,17;-9,19;8,13;-5,74;-0,86;0,11;2,17;24,03
-9,69;-5,14;-3,84;0,56;-0,06;-1,04;23,17;-14,92;-7,5;-0,77;-1,8;-0,4;2,64;24,03
-10,87;-1,18;-0,82;1,74;0,24;0,47;23,17;-9,61;-3,47;-4,64;1,57;-0,41;1,42;24,03
-8,3;-1,47;-4,56;-0,65;-0,08;0,28;23,16;-9,7;-0,49;-4,34;-0,49;-0,13;1,68;24,03
-7,82;-7,62;-1,5;-0,72;-0,27;1,3;23,16;-14,29;-2,31;-2,42;1,13;1,37;-5,1;24,01
-7,95;-2,08;-3,99;-0,77;-0,09;0,75;23,16;-9,05;-0,92;-4,63;-0,33;0,11;0,94;24,02
-6,56;-0,56;-2,44;0,99;0,19;-1,01;23,17;-1,93;5,18;-3,38;2,45;0,3;-4,56;24
-8,09;0,05;-4,44;-0,35;0,18;1,17;23,16;-9,22;-0,26;-5,72;-0,41;0,3;0,79;23,99
-10,76;0,3;-4,89;0,31;0,32;-2,42;23,16;-2,26;6,3;-1,16;-0,31;0,34;-1,37;23,98
-7,66;-0,65;-4,41;-0,02;0,26;0,99;23,17;-9;-0,71;-6,03;0,31;0,57;1,08;23,97
-8,79;-2,19;-1,82;1,03;-0,22;-1,78;23,17;-12,64;-3,12;-2,66;-1,87;0,02;2,59;23,97
-9,47;-3,41;-3,83;0,39;0,02;-0,11;23,16;-11,13;1,26;-5,42;1,65;0,86;2,25;23,95
-7,59;-1,37;-5,11;-0,51;-0,06;0,48;23,17;-9,77;0,61;-4,99;-0,29;-0,24;1,65;23,97
-5,89;-4,6;-1,31;-1,07;-0,1;1,06;23,16;-12,87;1,1;-5,02;0,08;1,81;-4,94;23,96
-7,83;-2,27;-4,01;-0,57;-0,02;0,83;23,17;-9,02;-1,5;-4,74;-0,04;-0,02;1,05;23,94
-6,48;-0,02;-2,62;0,61;0,32;-1,03;23,16;-2,34;4,53;-2,23;1,96;0,59;-4,88;23,93
-7,86;-1,42;-4,15;-0,39;0,09;0,76;23,17;-8,83;-1,68;-5,28;-0,24;0,16;0,98;23,91
-11,03;-0,31;-4,48;-0,07;0,27;-2,48;23,17;-4,87;5,72;-1,79;-1,62;0,04;-0,58;23,91
-7,91;-0,94;-5,34;0,16;0,3;1,01;23,18;-8,91;-1,2;-5,86;0,3;0,74;0,87;23,9
-14,82;-0,25;-3,56;0,86;-0,48;-2,57;23,18;-14,04;6,41;-5,09;-1,53;0,12;2,52;23,91
-10,65;-1,7;-4,79;0,54;0,72;0,14;23,17;-12,81;2,47;-5,47;0,84;2,16;2,57;23,86
-9,46;-5,28;-4,6;-0,16;-0,13;-0,18;23,15;-14,15;-5,23;-2,18;-0,95;-0,31;2,17;23,88
-7,56;-10,53;-3,52;0,47;0,08;0,44;23,14;-9,67;1,56;-4,93;0,55;0,3;1,28;23,85
-7,78;-2,22;-4,44;-0,54;-0,09;0,68;23,14;-9,64;-1;-4,86;-0,33;-0,16;1,52;23,86
-7,14;-0,7;-1,66;-0,63;0,29;0,75;23,14;-8,68;2,86;-5,11;0,74;1;-5,2;23,85
-7,87;-1,7;-4,37;-1,34;-0,19;0,8;23,13;-9,07;-0,91;-4,97;-0,64;0,01;0,68;23,84
-6,2;0,57;-3,52;0,22;0,18;-0,93;23,12;-3,26;3,51;-3,69;2;-0,15;-4,38;23,84
-7,99;-1,83;-3,82;-0,03;-0,03;0,94;23,14;-8,87;-1,5;-4,64;0,02;0,32;0,91;23,82
-11,64;0,59;-4,11;-0,23;0,17;-2,68;23,12;-5,78;5,31;-1,63;-2,18;0,29;0,16;23,82
-9,33;-1,25;-4,31;-0,57;0,15;1,2;23,13;-10,64;-0,13;-4,29;-1,02;-0,09;0,53;23,81
-8,44;-5,51;-3,51;0,4;-0,36;-1,01;23,13;-13,57;-9,05;-1,24;-1,73;-0,67;2,41;23,81
-12,14;-2,25;-2,93;1,7;-0,11;0,69;23,14;-15,7;-6,51;-2,78;0,65;-0,49;-0,12;23,79
-7,98;-1,89;-4,26;-0,74;-0,13;0,55;23,13;-9,81;-0,84;-3,96;-0,46;-0,4;1,48;23,8
-6,45;-1,79;0,17;-0,37;0,05;0,95;23,13;-11,89;3,45;-5,7;0,49;0,54;-5,85;23,77
-8,23;-0,79;-3,93;-0,67;0;0,8;23,12;-9,01;0,57;-4,75;-0,48;0,1;0,84;23,77
-6,74;-1,01;-2,01;0,21;0,16;-1,48;23,12;-0,74;2,6;-1,11;2,09;0,67;-4,08;23,75
-7,78;-2,61;-4,46;-0,76;-0,03;0,76;23,12;-8,77;-2,77;-5,11;-0,41;0,27;0,95;23,74
-12,06;0,34;-4,5;0,97;-0,39;-2,32;23,1;-8,13;5,91;-6,7;-1,59;-0,17;1,12;23,75
-9,36;0,51;-3,78;-0,44;0,48;1,02;23,1;-10,5;2,85;-3,52;-1,04;-0,1;1,07;23,74
-9,17;-5,63;-3,9;0,48;-0,09;-0,87;23,11;-14,48;-8,22;-0,42;-1,39;-0,47;2,54;23,73
-13,06;-1,76;-1,85;1,43;0,13;0,59;23,11;-12,33;-7,86;-1,6;1,94;-1,52;0,21;23,71
-7,1;-1,69;-5,27;-0,54;-0,1;0,41;23,1;-8,9;-1,58;-5,68;-0,25;-0,13;1,53;23,73
-7,3;-4,12;-1,46;-1,04;-0,05;1,05;23,09;-12,14;0,84;-5,05;-0,65;1,14;-5,98;23,71
-8,13;-2,19;-3,83;-0,83;-0,03;0,48;23,11;-8,92;-1,38;-4,67;-0,39;-0,07;0,86;23,72
-7,52;-2,05;-2,01;-0,79;0,2;-1,74;23,1;-3,59;3,92;-1,67;2,55;1,78;-3,68;23,71
-8,07;-1,13;-4,7;-0,15;0,12;0,51;23,09;-8,59;-3,1;-5,64;-0,13;0;0,33;23,7
-5,76;0,55;-3,96;-0,17;-0,13;-0,09;23,09;-6,59;0,92;-6,4;-0,22;-0,16;0,12;23,7
-8,62;-1,67;-3,33;-0,03;0,19;-0,22;23,1;-9,27;-1,83;-3,81;0,23;0,04;0,06;23,71
-9,73;0,39;-2,16;-1,65;-0,66;-1,03;23,1;-9,16;7,1;-4,92;-3,79;0,53;-0,13;23,72
-8,23;-1,19;-5,6;-1,03;-0,04;-0,51;23,09;-9,25;-1,09;-6;-0,56;-0,01;-0,04;23,72
-9,29;-2,4;-2,53;-1,62;-0,66;-0,98;23,09;-9,39;2,57;-3,82;-2,33;0,29;0,19;23,72
-8,61;-2,04;-3,14;-0,04;0,15;0,47;23,1;-9,28;-1,04;-3,96;0,57;0,21;-0,13;23,72
-8,36;-1,38;-4,27;-0,08;-0,02;0,36;23,08;-9,09;-0,67;-5,22;-0,16;-0,05;0,37;23,72
-9,44;-1,69;-4,16;0,53;0,54;-1,8;23,09;-4,83;5,5;-3,8;0,73;0,1;-0,45;23,72
-8,53;-2,65;-4,2;-0,92;-0,23;1,03;23,09;-9,48;-1,91;-4,5;-0,85;0,13;0,64;23,7
-10,56;-4;-4,27;0,92;-0,01;-0,58;23,1;-13,94;-5,36;-2,25;-0,79;-0,52;2,35;23,69
-10,59;-4,68;-3,44;1,49;-0,02;0,87;23,09;-13,91;-8,75;-0,16;-0,45;0,36;-0,01;23,67
-7,49;-2,33;-4,54;-0,7;-0,08;0,71;23,04;-9,44;-1,72;-5;-0,23;-0,55;1,49;23,67
-6,95;-2,82;-1,18;-0,85;0,04;1,16;23,03;-14,86;1,64;-5,69;0,19;2,37;-4,96;23,64
-8,1;-1,73;-4,05;-0,8;0,02;0,61;23;-9,02;-0,61;-4,88;-0,43;-0,02;0,87;23,65
-7,33;-1,04;-2,65;0,61;0,24;-1,76;23;-1,42;3,69;-2,09;2,1;0,71;-3,72;23,64
-7,97;-1,84;-4,6;-0,29;-0,07;0,93;22,99;-9,29;-1,41;-5,23;-0,41;-0,35;0,71;23,63
-13,08;0,36;-4,04;0,91;-0,38;-2,39;23;-9,88;6,5;-6,87;-1,28;-0,12;1,72;23,62
-9,05;0,5;-3,13;-0,18;0,37;1,14;22,98;-10,14;3,77;-4,22;-1;-0,26;1,06;23,61
-9,73;-3,3;-5,28;0,2;-0,01;0,21;22,99;-12,84;-2,72;-3,85;-0,3;-0,51;2,05;23,61
-7,72;-12,15;-4,51;1,11;0,24;0,55;23;-9,25;2,92;-6,29;2,08;0,59;0,35;23,59
-7,64;-2,21;-4,59;-0,89;-0,05;0,65;22,99;-9,1;-2,32;-5,23;-0,53;-0,29;1,06;23,61
-4,6;1,93;-3,13;0,23;-0,11;-0,35;22,98;-7,03;2,94;-2,84;2,25;0,73;-5,7;23,59
-7,67;-2,04;-4,21;-0,59;0,22;0,63;22,98;-8,66;-2,48;-5,32;-0,5;0,05;0,84;23,59
-10,35;-0,12;-4,78;-0,21;0,03;-2,53;22,97;-3,38;4,93;-0,66;-0,58;0,19;-1,18;23,59
-8,51;-1,41;-4,34;-0,3;0,24;1;22,99;-9,17;-2,46;-4,36;-0,4;0;0,43;23,57
-9,16;-5,85;-2,79;0,79;-0,3;-1,4;22,97;-14,85;-7,22;-2,21;-1,81;-0,22;2,66;23,59
-12,71;-1,16;0,86;0,69;-0,05;0,47;22,96;-10,88;-3,55;-4,95;0,38;-0,87;0,67;23,56
-7,85;-1,94;-5,1;-0,64;-0,03;0,38;22,97;-9,59;-1,76;-5,11;-0,29;-0,13;1,51;23,55
-6,29;-3,37;-0,69;-0,64;-0,08;0,86;22,97;-11,43;2,42;-5,72;-0,44;2,04;-5,72;23,53
-8,23;-1,05;-4,16;-0,58;0,22;0,7;22,96;-9;-0,54;-4,61;-0,52;-0,08;0,89;23,52
-7,66;-1,69;-3,93;1,1;0,26;-1,87;22,95;-2,98;4,76;-3,86;2,29;0,21;-2,84;23,52
-7,1;-1,8;-5,48;-0,49;0,33;1,17;22,95;-8,25;-0,58;-6,21;-0,12;1,1;0,95;23,5
-12,38;-0,38;-3,61;1,22;-0,3;-2,14;22,95;-12,64;3,41;-5,26;-1,88;0,06;1,77;23,5
-8,79;3,03;-3,9;-0,06;0,45;0,82;22,95;-9,58;4,03;-5,82;-0,5;1,07;1,56;23,49
-8,52;-0,62;-5,49;-0,5;-0,03;0,48;22,95;-10,45;0,87;-5,56;-0,73;-0,21;1,4;23,5
-5,72;-3,36;-2,18;-0,79;-0,12;0,51;22,94;-11,56;2,89;-5,55;0,23;1,89;-5,26;23,48
-7,31;-1,87;-4,64;-0,26;-0,1;0,9;22,93;-8,93;-1,07;-5,01;-0,38;-0,14;0,9;23,49
-7,56;-2,44;-2,44;0,56;0,09;-1,49;22,92;-3,14;4;-1,92;1,34;0,74;-3,16;23,47
-7,34;-2,98;-5,19;-0,5;-0,38;1,13;22,92;-9,37;-1,23;-5,18;-0,42;-0,29;0,38;23,47
-13,45;-0,94;-4,49;0,49;-0,68;-2,39;22,91;-11,03;6,57;-6,61;-2,3;-0,03;1,71;23,46
-9,43;0,49;-5,39;0,86;0,45;0,53;22,9;-8,49;2,13;-8,01;1,05;1,41;2,26;23,44
-8,11;-4,3;-5,73;-0,29;0,04;0,17;22,9;-11,35;-1,34;-4,85;-0,44;-0,17;1,79;23,45
-4,99;-10,02;-3,48;-0,31;-0,1;0,23;22,88;-12,29;-0,17;-4,25;1,15;0,06;-3,33;23,44
-7,67;-2,69;-4,77;-0,6;-0,15;0,72;22,89;-9,1;-0,43;-5,12;-0,56;-0,12;0,78;23,44
-6,11;-2,43;-4,47;1,48;0,37;-0,79;22,87;-4,43;3,56;-4,62;3,13;0,06;-3,74;23,43
-6,9;-2,92;-5,84;-0,54;0,17;0,89;22,87;-10,12;0,96;-6,33;-0,27;0,97;1,26;23,41
-9,33;-3,97;-3,23;0,8;-0,26;-2,2;22,86;-12,18;1,66;-4,94;-1,18;0,01;2,22;23,42
-10,24;-5,73;-2,36;0,07;0,36;0,7;22,87;-12,29;-5,09;-1,72;1,03;-1,29;0,59;23,4
-7,1;-3,6;-4,97;-0,72;-0,36;0,76;22,87;-9,22;-1,36;-5,33;-0,4;0,01;1,09;23,4
-4,59;0,39;-4,1;0,13;0,51;0,15;22,86;-10,9;4,43;-5,3;1,35;-0,6;-5,56;23,39
-6,78;-3,48;-5,19;-0,89;0,16;0,71;22,86;-8,85;-2,48;-6,15;-0,71;0,25;0,63;23,38
-10,08;-2,64;-6,62;0,47;-0,46;-2,39;22,84;-5,4;3,99;-2,34;-1,49;-0,1;-0,07;23,37
-8,38;-2,59;-4,9;-0,67;0,38;1,08;22,85;-10,88;-0,95;-4,02;-1,18;-1,45;0,41;23,35
-8,36;-7,07;-4,93;0,67;0,34;-0,97;22,84;-14,12;-6,82;-1,67;-1,16;-0,28;2,46;23,36
-8,23;-6,62;-5,56;0,37;0,53;0,1;22,82;-12,68;-6,01;-3,7;-0,08;1,11;1,08;23,34
-6,47;-4,21;-5,31;-0,83;-0,56;0,61;22,82;-9,03;-1,67;-5,45;-0,67;-0,1;1,11;23,34
-4,96;0,46;-4,47;0,02;0,54;-0,22;22,81;-9,85;4,74;-5,52;1,32;-0,19;-5,46;23,33
-6,5;-3,5;-5,08;-0,44;0,08;0,67;22,82;-8,69;-1,43;-5,45;-0,36;-0,01;0,9;23,32
-9,32;-3,17;-5,49;0,2;-0,37;-2,07;22,82;-2,45;5,09;-1,53;1,05;0,46;-1,42;23,32
-7,6;-3,37;-5,71;-0,06;0,07;0,89;22,81;-9,04;-3,33;-4,69;0,18;0,12;0,61;23,29
-9,96;-5,92;-3,12;0,17;-0,81;-1,45;22,8;-14,05;-1,48;-1,42;-2,49;-0,52;1,86;23,29
-7,51;-4,72;-4,31;0,11;0,11;0,1;22,79;-9,46;-1,99;-3,19;-0,06;-0,46;0,16;23,3
-7,61;-3,91;-4,15;0,01;-0,06;0,04;22,8;-9,18;-1,95;-3,02;0,01;0,1;-0,15;23,3
-7,87;-3,41;-4,11;0,15;0,09;-0,06;22,79;-9,26;-1,57;-3,14;0,07;0,07;-0,01;23,32
-7,94;-3,43;-3,96;0,08;0,06;0,03;22,77;-9,16;-1,81;-3,41;0,18;0,2;0,04;23,32
-8,06;-3,27;-4,01;0,18;0,05;-0,05;22,79;-9,19;-1,69;-3,82;0,08;0,04;0,13;23,33
-7,95;-3,14;-4,21;0,05;-0,08;-0,04;22,79;-9,2;-1,36;-4,16;-0,08;0,17;-0,06;23,34
-8,11;-2,87;-4,03;0,1;0,05;-0,02;22,82;-9,22;-1,05;-3,88;0,09;0;0,01;23,33
-8,06;-2,88;-4,19;0,09;-0,04;-0,06;22,81;-9,22;-1,02;-4,03;0,06;0,05;-0,01;23,34
